soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
XX1-SFX_mp3, 14, 3, 8.41, 3.01, 1.67, 4.65, 0.215
XX10-SFX_mp3, 6, 1, 5.85, 1.70, 1.03, 3.53, 0.284
XX11-SFX_mp3, 4, 1, 3.76, 1.68, 1.06, 2.38, 0.420
XX12-SFX_mp3, 16, 4, 9.13, 4.18, 1.75, 3.83, 0.261
XX13-SFX_mp3, 20, 4, 9.45, 4.49, 2.12, 4.46, 0.224
XX14-SFX_mp3, 14, 4, 8.44, 4.18, 1.66, 3.35, 0.299
XX15-SFX_mp3, 34, 7, 14.46, 8.45, 2.35, 4.02, 0.249
XX16-SFX_mp3, 34, 5, 11.58, 6.92, 2.94, 4.92, 0.203
XX17-SFX_mp3, 18, 2, 10.14, 2.88, 1.78, 6.24, 0.160
XX18-SFX_mp3, 15, 1, 5.13, 2.90, 2.92, 5.17, 0.193
XX19-SFX_mp3, 51, 7, 19.28, 11.22, 2.65, 4.54, 0.220
XX2-SFX_mp3, 27, 4, 11.32, 4.98, 2.38, 5.42, 0.185
XX20-SFX_mp3, 62, 10, 22.99, 13.41, 2.70, 4.62, 0.216
XX21-SFX_mp3, 23, 4, 9.24, 4.96, 2.49, 4.64, 0.216
XX22-SFX_mp3, 11, 1, 4.48, 2.58, 2.45, 4.27, 0.234
XX23-SFX_mp3, 11, 2, 6.18, 3.05, 1.78, 3.61, 0.277
XX24-SFX_mp3, 44, 8, 17.19, 9.59, 2.56, 4.59, 0.218
XX25-SFX_mp3, 43, 7, 16.11, 9.19, 2.67, 4.68, 0.214
XX26-SFX_mp3, 13, 1, 4.66, 2.72, 2.79, 4.77, 0.210
XX27-SFX_mp3, 10, 1, 4.56, 2.52, 2.20, 3.97, 0.252
XX28-SFX_mp3, 37, 4, 13.66, 7.38, 2.71, 5.01, 0.200
XX29-SFX_mp3, 154, 19, 48.12, 31.63, 3.20, 4.87, 0.205
XX3-SFX_mp3, 21, 3, 7.87, 4.09, 2.67, 5.14, 0.195
XX30-SFX_mp3, 152, 19, 46.93, 30.98, 3.24, 4.91, 0.204
XX31-SFX_mp3, 93, 17, 34.40, 19.45, 2.70, 4.78, 0.209
XX32-SFX_mp3, 79, 15, 29.97, 16.55, 2.64, 4.77, 0.209
XX33-SFX_mp3, 30, 4, 11.36, 7.45, 2.64, 4.03, 0.248
XX34-SFX_mp3, 62, 6, 28.86, 11.65, 2.15, 5.32, 0.188
XX35-SFX_mp3, 82, 6, 22.59, 15.13, 3.63, 5.42, 0.184
XX36-SFX_mp3, 50, 3, 13.92, 10.05, 3.59, 4.97, 0.201
XX37-SFX_mp3, 26, 2, 8.88, 6.13, 2.93, 4.24, 0.236
XX38-SFX_mp3, 24, 2, 8.55, 6.05, 2.81, 3.97, 0.252
XX39-SFX_mp3, 19, 2, 9.20, 5.34, 2.07, 3.56, 0.281
XX4-SFX_mp3, 14, 2, 5.31, 2.81, 2.64, 4.99, 0.201
XX40-SFX_mp3, 17, 3, 10.10, 5.76, 1.68, 2.95, 0.339
XX41-SFX_mp3, 61, 8, 21.01, 14.15, 2.90, 4.31, 0.232
XX42-SFX_mp3, 77, 8, 22.63, 16.23, 3.40, 4.75, 0.211
XX5-SFX_mp3, 13, 1, 4.41, 2.61, 2.95, 4.97, 0.201
XX6-SFX_mp3, 11, 1, 4.63, 2.34, 2.38, 4.71, 0.213
XX7-SFX_mp3, 21, 2, 7.26, 4.60, 2.89, 4.57, 0.219
XX8-SFX_mp3, 41, 4, 13.52, 8.79, 3.03, 4.66, 0.214
XX9-SFX_mp3, 26, 3, 10.10, 5.78, 2.57, 4.50, 0.222